RIC,WeeklyPrice,Dateweek,issuedate,Currency,Countryissd,Amountissd,RRating,Industry,treat,gbd,dummynewlyissued,dummypricesoilplunge,currency_group,countryissd_group,rr4ting_group,industry_group,idrics,resmatr,logresmatr,duration,duplicates,cyg1,cyg2,cyg3,cyg4,cyg5,cyg6,cyg7,cyg8,cyg9,cyg10,cyg11,cyg12,cyg13,cyg14,cyg15,cyg16,cyg17,cyg18,cyg19,cyg20,cyg21,cyg22,cyg23,cyg24,cyg25,cyg26,cyg27,cyg28,cyg29,cyg30,cyg31,coung1,coung2,coung3,coung4,coung5,coung6,coung7,coung8,coung9,coung10,coung11,coung12,coung13,coung14,coung15,coung16,coung17,coung18,coung19,coung20,coung21,coung22,coung23,coung24,coung25,coung26,coung27,coung28,coung29,coung30,coung31,coung32,coung33,coung34,coung35,coung36,coung37,coung38,coung39,coung40,coung41,coung42,rrg1,rrg2,rrg3,rrg4,rrg5,rrg6,rrg7,rrg8,rrg9,indg1,indg2,indg3,indg4,indg5,indg6,indg7,indg8,indg9,indg10,logAmountissd,_pscore,_treated,_support,_weight,_WeeklyPrice,_id,_n1,_nn,_pdif,greenplunge
83417KDN5=,97.4585,11/6/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,3.8408,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8191237047162725,Treated,On support,1,102.52,707314,670726,1,.0000430414066683,1
83417KDN5=,99.54430000000001,11/10/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,16.0893,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.9287342186259931,Treated,On support,1,99.4303,714239,671588,1,.0003668724578286,1
83417KDN5=,99.42910000000001,11/11/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,11.6625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8972542859049314,Treated,On support,1,103.067,712325,671411,1,.0000838939039564,1
83417KDN5=,99.7004,11/13/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,4.3589001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8252298026730315,Treated,On support,1,84,707976,670791,1,.0000472364494923,1
83417KDN5=,99.7719,11/16/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,3.9723001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8206860272630792,Treated,On support,1,87.75,707583,670746,1,.0000325589635967,1
83417KDN5=,99.75700000000001,11/17/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,16.114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.9288862861138582,Treated,On support,1,99.4303,714252,671588,1,.0002148049699636,1
83417KDN5=,99.6247,11/20/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,6.6708999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8508598000511436,Treated,On support,1,106.382,710016,671061,1,.000080312280978,1
83417KDN5=,99.6532,11/23/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,6.2613001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8465121631729684,Treated,On support,1,101.445,709712,671026,1,.0001155007876473,1
83417KDN5=,99.77719999999999,11/27/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,.84170002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.7812092872092177,Treated,On support,1,110.3674,701986,670456,1,.0000428080818325,1
83417KDN5=,99.7632,11/30/2015,27-8-2015,US Dollar,United States,5000000,NR,ELECTRIC,1,1,1,1,1,1,1,1,1,6.5,1.8718022,3.9547,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.424949,.8204774180943631,Treated,On support,1,100.959,707542,670744,1,.0001313619018233,1
